Product Name,Category,Unit Price,Cost Price,Competitor Price,Quantity Sold,Revenue,Inventory,Season,Date
Ceramic Essential Oil Diffuser,Home Goods,1836.17,800,1883.35,2,3672.34,174.0,Summer,2025-07-06
Wireless Noise-Canceling Headphones,Electronics,7667.87,4500,8519.24,1,7667.87,146.0,Summer,2025-07-07
UltraHD 4K Smart TV,Electronics,43125.75,32000,,6,258754.5,43.0,Summer,2025-07-08
Wireless Noise-Canceling Headphones,Electronics,8325.08,4500,7944.95,3,24975.24,144.0,Summer,2025-07-08
Classic Denim Jacket,Apparel,2389.08,1200,2326.81,9,21501.72,224.0,Summer,2025-07-08
Ergonomic Office Chair,Home Goods,11508.39,6000,10394.89,1,11508.39,59.0,Summer,2025-07-08
UltraHD 4K Smart TV,Electronics,47084.5,32000,42763.27,4,188338.0,44.0,Summer,2025-07-09
Waterproof Hiking Boots,Apparel,4587.94,2200,4540.36,9,41291.46,69.0,Summer,2025-07-09
Ergonomic Office Chair,Home Goods,10950.0,6000,10607.15,6,65700.0,55.0,Summer,2025-07-09
UltraHD 4K Smart TV,Electronics,44014.33,32000,46103.46,9,396128.97,40.0,Summer,2025-07-10
Wireless Noise-Canceling Headphones,Electronics,8096.11,4500,8053.96,4,32384.44,149.0,Summer,2025-07-10
Classic Denim Jacket,Apparel,2432.35,1200,2355.06,5,12161.75,227.0,Summer,2025-07-10
Waterproof Hiking Boots,Apparel,4478.96,2200,4524.15,9,40310.64,60.0,Summer,2025-07-10
Ergonomic Office Chair,Home Goods,11113.06,6000,10307.6,3,33339.18,57.0,Summer,2025-07-10
Wireless Noise-Canceling Headphones,Electronics,7934.59,4500,8483.87,2,15869.18,157.0,Summer,2025-07-11
Classic Denim Jacket,Apparel,2381.59,1200,2376.28,1,2381.59,227.0,Summer,2025-07-11
Ergonomic Office Chair,Home Goods,11103.54,6000,10399.95,5,55517.7,62.0,Summer,2025-07-11
Wireless Noise-Canceling Headphones,Electronics,7931.86,4500,8051.36,7,55523.02,,Summer,2025-07-12
Classic Denim Jacket,Apparel,2508.59,1200,2447.98,3,7525.77,228.0,Summer,2025-07-12
Waterproof Hiking Boots,Apparel,4601.75,2200,4796.66,3,13805.25,57.0,Summer,2025-07-12
Ergonomic Office Chair,Home Goods,10675.55,6000,10291.21,4,42702.2,58.0,Summer,2025-07-12
Ceramic Essential Oil Diffuser,Home Goods,1821.26,800,1927.87,9,16391.34,171.0,Summer,2025-07-12
UltraHD 4K Smart TV,Electronics,45091.38,32000,45469.45,2,90182.76,49.0,Summer,2025-07-13
Waterproof Hiking Boots,Apparel,4631.32,2200,4733.82,7,32419.24,54.0,Summer,2025-07-13
Ergonomic Office Chair,Home Goods,11224.49,6000,10258.89,5,56122.45,64.0,Summer,2025-07-13
UltraHD 4K Smart TV,Electronics,45614.9,32000,44695.14,3,136844.7,47.0,Summer,2025-07-14
Wireless Noise-Canceling Headphones,Electronics,8011.19,4500,8386.08,7,56078.33,157.0,Summer,2025-07-14
Ergonomic Office Chair,Home Goods,11469.25,6000,10493.38,3,34407.75,68.0,Summer,2025-07-14
Ceramic Essential Oil Diffuser,Home Goods,1821.75,800,1926.2,3,5465.25,176.0,Summer,2025-07-14
UltraHD 4K Smart TV,Electronics,45381.45,32000,44145.07,8,363051.6,42.0,Summer,2025-07-15
Wireless Noise-Canceling Headphones,Electronics,7876.53,4500,8460.29,3,23629.59,164.0,Summer,2025-07-15
Classic Denim Jacket,Apparel,2418.08,1200,2340.92,3,7254.24,229.0,Summer,2025-07-15
Waterproof Hiking Boots,Apparel,4400.37,2200,4578.56,5,22001.85,54.0,Summer,2025-07-15
Ergonomic Office Chair,Home Goods,10956.86,6000,10253.32,2,21913.72,66.0,Summer,2025-07-15
Ceramic Essential Oil Diffuser,Home Goods,1834.27,800,1878.13,9,16508.43,175.0,Summer,2025-07-15
UltraHD 4K Smart TV,Electronics,45052.46,32000,43278.84,1,45052.46,50.0,Summer,2025-07-16
Classic Denim Jacket,Apparel,2524.32,1200,2493.36,8,20194.56,226.0,Summer,2025-07-16
Waterproof Hiking Boots,Apparel,4616.98,2200,4711.76,2,9233.96,61.0,Summer,2025-07-16
Ergonomic Office Chair,Home Goods,10727.68,6000,10679.21,7,75093.76,69.0,Summer,2025-07-16
Ceramic Essential Oil Diffuser,Home Goods,1729.29,800,1941.8,4,6917.16,173.0,Summer,2025-07-16
UltraHD 4K Smart TV,Electronics,43961.59,32000,44063.13,7,307731.13,51.0,Summer,2025-07-17
Classic Denim Jacket,Apparel,2508.83,1200,2348.78,4,10035.32,230.0,Summer,2025-07-17
Waterproof Hiking Boots,Apparel,4630.13,2200,4699.41,4,18520.52,62.0,Summer,2025-07-17
Ergonomic Office Chair,Home Goods,11269.98,6000,10442.59,3,33809.94,75.0,Summer,2025-07-17
Ceramic Essential Oil Diffuser,Home Goods,1775.35,800,1972.76,2,3550.7,181.0,Summer,2025-07-17
UltraHD 4K Smart TV,Electronics,47189.32,32000,44876.56,1,47189.32,54.0,Summer,2025-07-18
Wireless Noise-Canceling Headphones,Electronics,7722.29,4500,8033.35,4,30889.16,170.0,Summer,2025-07-18
Classic Denim Jacket,Apparel,2576.47,1200,2314.69,8,20611.76,228.0,Summer,2025-07-18
Waterproof Hiking Boots,Apparel,4283.21,2200,4774.06,9,38548.89,58.0,Summer,2025-07-18
Ergonomic Office Chair,Home Goods,11516.42,6000,10807.03,5,57582.1,75.0,Summer,2025-07-18
Ceramic Essential Oil Diffuser,Home Goods,1740.76,800,1976.31,11,19148.36,171.0,Summer,2025-07-18
UltraHD 4K Smart TV,Electronics,45322.26,32000,43716.73,5,226611.3,54.0,Summer,2025-07-19
Waterproof Hiking Boots,Apparel,4606.31,2200,4711.22,1,4606.31,66.0,Summer,2025-07-19
Ceramic Essential Oil Diffuser,Home Goods,1801.1,800,2017.39,4,7204.4,167.0,Summer,2025-07-19
UltraHD 4K Smart TV,Electronics,44794.21,32000,44673.03,2,89588.42,59.0,Summer,2025-07-20
Classic Denim Jacket,Apparel,2545.38,1200,2449.96,8,20363.04,225.0,Summer,2025-07-20
Waterproof Hiking Boots,Apparel,4431.99,2200,4861.5,2,8863.98,68.0,Summer,2025-07-20
UltraHD 4K Smart TV,Electronics,43049.23,32000,45358.39,6,258295.38,64.0,Summer,2025-07-21
Classic Denim Jacket,Apparel,2573.82,1200,2342.71,3,7721.46,226.0,Summer,2025-07-21
Waterproof Hiking Boots,Apparel,4381.06,2200,4750.29,4,17524.24,72.0,Summer,2025-07-21
Ceramic Essential Oil Diffuser,Home Goods,1856.99,800,1940.51,3,5570.97,169.0,Summer,2025-07-21
UltraHD 4K Smart TV,Electronics,44724.35,32000,44775.85,1,44724.35,63.0,Summer,2025-07-22
Wireless Noise-Canceling Headphones,Electronics,8025.49,4500,7915.7,8,64203.92,164.0,Summer,2025-07-22
Classic Denim Jacket,Apparel,2482.88,1200,2367.9,3,7448.64,230.0,Summer,2025-07-22
Waterproof Hiking Boots,Apparel,4350.03,2200,4842.36,1,4350.03,74.0,Summer,2025-07-22
Ceramic Essential Oil Diffuser,Home Goods,1889.58,800,1989.37,5,9447.9,174.0,Summer,2025-07-22
Wireless Noise-Canceling Headphones,Electronics,8055.91,4500,8372.17,1,8055.91,168.0,Summer,2025-07-23
Waterproof Hiking Boots,Apparel,4655.9,2200,4559.94,8,37247.2,73.0,Summer,2025-07-23
Ergonomic Office Chair,Home Goods,10702.18,6000,10686.69,2,21404.36,83.0,Summer,2025-07-23
Ceramic Essential Oil Diffuser,Home Goods,1834.91,800,1956.67,5,9174.55,172.0,Summer,2025-07-23
UltraHD 4K Smart TV,Electronics,46838.03,32000,44796.87,7,327866.21,62.0,Summer,2025-07-24
Wireless Noise-Canceling Headphones,Electronics,8357.83,4500,7972.6,7,58504.81,162.0,Summer,2025-07-24
Classic Denim Jacket,Apparel,2379.53,1200,2471.45,4,9518.12,229.0,Summer,2025-07-24
Ergonomic Office Chair,Home Goods,11166.5,6000,10727.85,8,89332.0,80.0,Summer,2025-07-24
Ceramic Essential Oil Diffuser,Home Goods,1728.76,800,2003.11,9,15558.84,163.0,Summer,2025-07-24
UltraHD 4K Smart TV,Electronics,47181.79,32000,45706.48,6,283090.74,62.0,Summer,2025-07-25
Waterproof Hiking Boots,Apparel,4541.07,2200,4662.03,9,40869.63,68.0,Summer,2025-07-25
Ergonomic Office Chair,Home Goods,11333.14,6000,10083.89,7,79331.98,75.0,Summer,2025-07-25
Ceramic Essential Oil Diffuser,Home Goods,1806.73,800,2015.5,2,3613.46,167.0,Summer,2025-07-25
UltraHD 4K Smart TV,Electronics,46068.76,32000,44329.9,3,138206.28,64.0,Summer,2025-07-26
Wireless Noise-Canceling Headphones,Electronics,7998.69,4500,8146.82,8,63989.52,154.0,Summer,2025-07-26
Classic Denim Jacket,Apparel,2520.15,1200,2425.39,2,5040.3,231.0,Summer,2025-07-26
Waterproof Hiking Boots,Apparel,4713.99,2200,4684.58,4,18855.96,69.0,Summer,2025-07-26
Ceramic Essential Oil Diffuser,Home Goods,1743.2,800,,8,13945.6,161.0,Summer,2025-07-26
UltraHD 4K Smart TV,Electronics,46791.24,32000,43450.3,1,46791.24,70.0,Summer,2025-07-27
Wireless Noise-Canceling Headphones,Electronics,7835.24,4500,8340.42,2,15670.48,153.0,Summer,2025-07-27
Classic Denim Jacket,Apparel,2495.27,1200,2399.43,3,7485.81,231.0,Summer,2025-07-27
Waterproof Hiking Boots,Apparel,4662.8,2200,4867.74,3,13988.4,67.0,Summer,2025-07-27
Ergonomic Office Chair,Home Goods,10477.92,6000,10211.17,2,20955.84,79.0,Summer,2025-07-27
Ceramic Essential Oil Diffuser,Home Goods,1714.88,800,1906.63,9,15433.92,158.0,Summer,2025-07-27
UltraHD 4K Smart TV,Electronics,42838.7,32000,43090.63,5,214193.5,67.0,Summer,2025-07-28
Classic Denim Jacket,Apparel,2555.2,1200,2458.62,8,20441.6,230.0,Summer,2025-07-28
UltraHD 4K Smart TV,Electronics,44578.77,32000,43873.4,2,89157.54,71.0,Summer,2025-07-29
Wireless Noise-Canceling Headphones,Electronics,8188.72,4500,8428.37,3,24566.16,153.0,Summer,2025-07-29
Classic Denim Jacket,Apparel,2550.99,1200,2478.84,5,12754.95,228.0,Summer,2025-07-29
Waterproof Hiking Boots,Apparel,4646.3,2200,4648.51,7,32524.1,71.0,Summer,2025-07-29
Ceramic Essential Oil Diffuser,Home Goods,1849.29,800,1928.59,5,9246.45,164.0,Summer,2025-07-29
UltraHD 4K Smart TV,Electronics,47135.46,32000,45495.94,1,47135.46,79.0,Summer,2025-07-30
Wireless Noise-Canceling Headphones,Electronics,8388.29,4500,8181.02,1,8388.29,153.0,Summer,2025-07-30
Classic Denim Jacket,Apparel,2442.17,1200,2407.99,9,21979.53,225.0,Summer,2025-07-30
Waterproof Hiking Boots,Apparel,4565.27,2200,4670.56,2,9130.54,75.0,Summer,2025-07-30
Ergonomic Office Chair,Home Goods,11354.84,6000,10524.92,4,45419.36,83.0,Summer,2025-07-30
Ceramic Essential Oil Diffuser,Home Goods,1809.75,800,1973.62,8,14478.0,160.0,Summer,2025-07-30
UltraHD 4K Smart TV,Electronics,43365.99,32000,45924.07,7,303561.93,82.0,Summer,2025-07-31
Wireless Noise-Canceling Headphones,Electronics,8080.41,4500,8308.26,7,56562.87,155.0,Summer,2025-07-31
Waterproof Hiking Boots,Apparel,4447.41,2200,4707.11,2,8894.82,84.0,Summer,2025-07-31
Ceramic Essential Oil Diffuser,Home Goods,1726.26,800,1992.27,6,10357.56,164.0,Summer,2025-07-31
UltraHD 4K Smart TV,Electronics,44350.53,32000,45279.8,7,310453.71,82.0,Summer,2025-08-01
Wireless Noise-Canceling Headphones,Electronics,7980.84,4500,8307.37,6,47885.04,154.0,Summer,2025-08-01
Waterproof Hiking Boots,Apparel,4289.03,2200,4610.61,3,12867.09,84.0,Summer,2025-08-01
Ergonomic Office Chair,Home Goods,10996.0,6000,10581.35,2,21992.0,89.0,Summer,2025-08-01
UltraHD 4K Smart TV,Electronics,43088.12,32000,45312.35,10,430881.2,82.0,Summer,2025-08-02
Wireless Noise-Canceling Headphones,Electronics,7967.75,4500,7921.81,2,15935.5,156.0,Summer,2025-08-02
Classic Denim Jacket,Apparel,2616.92,1200,2305.01,2,5233.84,227.0,Summer,2025-08-02
Waterproof Hiking Boots,Apparel,4687.79,2200,4563.44,9,42190.11,81.0,Summer,2025-08-02
Ergonomic Office Chair,Home Goods,10545.38,6000,10884.86,3,31636.14,93.0,Summer,2025-08-02
Ceramic Essential Oil Diffuser,Home Goods,1846.63,800,1984.96,7,12926.41,164.0,Summer,2025-08-02
UltraHD 4K Smart TV,Electronics,44952.41,32000,43507.51,9,404571.69,82.0,Summer,2025-08-03
Wireless Noise-Canceling Headphones,Electronics,8164.46,4500,8478.96,7,57151.22,158.0,Summer,2025-08-03
Classic Denim Jacket,Apparel,2603.87,1200,2310.52,4,10415.48,229.0,Summer,2025-08-03
Waterproof Hiking Boots,Apparel,4690.98,2200,4877.12,7,32836.86,75.0,Summer,2025-08-03
Ceramic Essential Oil Diffuser,Home Goods,1791.93,800,1953.5,8,14335.44,156.0,Summer,2025-08-03
UltraHD 4K Smart TV,Electronics,44391.14,32000,44716.01,2,88782.28,82.0,Summer,2025-08-04
Wireless Noise-Canceling Headphones,Electronics,7871.9,4500,8347.45,8,62975.2,157.0,Summer,2025-08-04
Classic Denim Jacket,Apparel,2572.68,1200,2365.2,2,5145.36,227.0,Summer,2025-08-04
Ergonomic Office Chair,Home Goods,10706.26,6000,10100.5,2,21412.52,101.0,Summer,2025-08-04
UltraHD 4K Smart TV,Electronics,46975.8,32000,45563.67,7,328830.6,78.0,Summer,2025-08-05
Wireless Noise-Canceling Headphones,Electronics,7670.83,4500,7896.66,9,69037.47,155.0,Summer,2025-08-05
Classic Denim Jacket,Apparel,2474.57,1200,2321.61,6,14847.42,224.0,Summer,2025-08-05
Ergonomic Office Chair,Home Goods,10571.52,6000,10377.88,2,21143.04,102.0,Summer,2025-08-05
UltraHD 4K Smart TV,Electronics,43997.7,32000,45960.81,10,439977.0,68.0,Summer,2025-08-06
Wireless Noise-Canceling Headphones,Electronics,7699.55,4500,8499.41,6,46197.3,153.0,Summer,2025-08-06
Classic Denim Jacket,Apparel,2479.4,1200,2472.79,8,19835.2,226.0,Summer,2025-08-06
UltraHD 4K Smart TV,Electronics,44557.11,32000,45702.66,6,267342.66,66.0,Summer,2025-08-07
Classic Denim Jacket,Apparel,2386.74,1200,2377.75,9,21480.66,217.0,Summer,2025-08-07
UltraHD 4K Smart TV,Electronics,43723.46,32000,44565.01,4,174893.84,71.0,Summer,2025-08-08
Wireless Noise-Canceling Headphones,Electronics,7808.19,4500,8210.0,2,15616.38,151.0,Summer,2025-08-08
Classic Denim Jacket,Apparel,2578.96,1200,2347.09,7,18052.72,218.0,Summer,2025-08-08
Waterproof Hiking Boots,Apparel,4536.04,2200,4546.4,9,40824.36,73.0,Summer,2025-08-08
Ergonomic Office Chair,Home Goods,10592.47,6000,10826.55,9,95332.23,,Summer,2025-08-08
Wireless Noise-Canceling Headphones,Electronics,8040.69,4500,7929.06,8,64325.52,154.0,Summer,2025-08-09
Classic Denim Jacket,Apparel,2439.94,1200,2442.9,2,4879.88,221.0,Summer,2025-08-09
Ergonomic Office Chair,Home Goods,11433.93,6000,10912.84,2,22867.86,99.0,Summer,2025-08-09
UltraHD 4K Smart TV,Electronics,46829.31,32000,44753.9,7,327805.17,65.0,Summer,2025-08-10
Wireless Noise-Canceling Headphones,Electronics,8291.59,4500,8353.44,8,66332.72,148.0,Summer,2025-08-10
Waterproof Hiking Boots,Apparel,4345.8,2200,4572.31,10,43458.0,67.0,Summer,2025-08-10
Ergonomic Office Chair,Home Goods,11130.47,6000,,7,77913.29,96.0,Summer,2025-08-10
Wireless Noise-Canceling Headphones,Electronics,8260.65,4500,7956.54,5,41303.25,149.0,Summer,2025-08-11
Classic Denim Jacket,Apparel,2579.49,1200,2463.77,7,18056.43,215.0,Summer,2025-08-11
Waterproof Hiking Boots,Apparel,4552.62,2200,4880.93,1,4552.62,73.0,Summer,2025-08-11
Ergonomic Office Chair,Home Goods,11147.41,6000,10533.59,3,33442.23,98.0,Summer,2025-08-11
Ceramic Essential Oil Diffuser,Home Goods,1713.32,800,1939.43,2,3426.64,165.0,Summer,2025-08-11
UltraHD 4K Smart TV,Electronics,46944.13,32000,43084.93,3,140832.39,65.0,Summer,2025-08-12
Wireless Noise-Canceling Headphones,Electronics,7654.27,4500,8069.43,1,7654.27,159.0,Summer,2025-08-12
Classic Denim Jacket,Apparel,2520.54,1200,2370.41,7,17643.78,218.0,Summer,2025-08-12
Ceramic Essential Oil Diffuser,Home Goods,1790.27,800,1973.02,5,8951.35,171.0,Summer,2025-08-12
UltraHD 4K Smart TV,Electronics,42849.56,32000,43872.05,3,128548.68,72.0,Summer,2025-08-13
Wireless Noise-Canceling Headphones,Electronics,7956.72,4500,8051.5,4,31826.88,155.0,Summer,2025-08-13
Classic Denim Jacket,Apparel,2588.55,1200,2405.19,4,10354.2,215.0,Summer,2025-08-13
Ergonomic Office Chair,Home Goods,10594.47,6000,10809.17,8,84755.76,101.0,Summer,2025-08-13
Ergonomic Office Chair,Home Goods,10793.15,6000,10349.42,6,64758.9,96.0,Summer,2025-08-14
Ceramic Essential Oil Diffuser,Home Goods,1715.6,800,1973.66,2,3431.2,180.0,Summer,2025-08-14
UltraHD 4K Smart TV,Electronics,47106.87,32000,43380.47,1,47106.87,75.0,Summer,2025-08-15
Wireless Noise-Canceling Headphones,Electronics,7962.95,4500,8219.91,7,55740.65,150.0,Summer,2025-08-15
Waterproof Hiking Boots,Apparel,4685.33,2200,4875.78,4,18741.32,77.0,Summer,2025-08-15
Ergonomic Office Chair,Home Goods,11108.16,6000,10590.14,4,44432.64,95.0,Summer,2025-08-15
Ceramic Essential Oil Diffuser,Home Goods,1750.6,800,1897.09,7,12254.2,178.0,Summer,2025-08-15
UltraHD 4K Smart TV,Electronics,45406.19,32000,44262.36,1,45406.19,81.0,Summer,2025-08-16
Wireless Noise-Canceling Headphones,Electronics,8144.37,4500,8131.48,6,48866.22,154.0,Summer,2025-08-16
Classic Denim Jacket,Apparel,2590.03,1200,2453.73,7,18130.21,218.0,Summer,2025-08-16
Waterproof Hiking Boots,Apparel,4322.22,2200,4603.01,10,43222.2,72.0,Summer,2025-08-16
Ergonomic Office Chair,Home Goods,11222.71,6000,10550.1,2,22445.42,104.0,Summer,2025-08-16
